"","dGuNm","dCodeNm","idx","foodSeq","name","dCode","dGu","telCode","telKuk","telNo","topMenu","contents1"
"1","대덕구","한식","151","FH0000934","관리자테스트","C0301","C0601","123","1234","1234",NA,NA
"2","중구","한식","150","FH0000933","신토불이","C0301","C0605","042","242","3555",NA,NA
"3","서구","중식","134","FH0000918","챠오챠오","C0302","C0603","042","526","9295","짜장면"," 대전시 서구 갈마2동에 위치한 중국음식 전문점이다. "
"4","서구","중식","133","FH0000917","만다린","C0302","C0603","042","489","2060","자연송이전복","서구 둔산동에 위치하고 있는 정통중국요리 전문점이다. "
"5","서구","중식","132","FH0000914","삼국지","C0302","C0603","042","482","7855","송이전복"," 서구 만년동에 위치하고 있는 중식 레스토랑이다. "
"6","서구","중식","127","FH0000913","천년의 정원","C0302","C0603","042","485","1796","전가복"," 대전시 서구 만년동에 위치하고 있는 중식 레스토랑이다."
"7","유성구","한식","124","FH0000912","산골묵집","C0301","C0604","042","935","9900","도토리묵, 보리밥"," 묵집으로 유명한 관평동에 위치하고 있다.
"
"8","유성구","한식","123","FH0000911","산밑할머니","C0301","C0604","042","935","7922","도토리묵, 보리밥"," "
"9","유성구","한식","122","FH0000910","솔밭묵집","C0301","C0604","042","935","5686","도토리묵","  대전시 유성구 관평동에 위치한 솔밭묵집이다."
"10","유성구","한식","126","FH0000909","구즉 이서방 묵집","C0301","C0604","042","935","1517","도토리묵"," 대전에는 묵집으로 유명한 집이 많다. 이곳도 그중의 한 집인데 묵 뿐만 아니라 토종닭도 전문으로 하는 곳이다. "
